P,datetime
3.0483832,25/4/2018 15:30
2.6939735,25/4/2018 15:33
2.5705833,25/4/2018 15:36
2.4889572,25/4/2018 15:39
2.453273,25/4/2018 15:42
2.5500813,25/4/2018 15:45
2.4794724,25/4/2018 15:48
2.44882,25/4/2018 15:51
2.4185047,25/4/2018 15:54
2.3167412,25/4/2018 15:57
2.2634718,25/4/2018 16:00
2.3140523,25/4/2018 16:03
2.2778895,25/4/2018 16:06
2.1081991,25/4/2018 16:09
1.881981,25/4/2018 16:12
1.6693486,25/4/2018 16:15
1.2453113,25/4/2018 16:18
1.3276109,25/4/2018 16:21
1.4266181,25/4/2018 16:24
1.6352136,25/4/2018 16:27
1.2516022,25/4/2018 16:30
1.0597186,25/4/2018 16:33
0.93716717,25/4/2018 16:36
0.92272896,25/4/2018 16:39
0.85872614,25/4/2018 16:42
0.830134,25/4/2018 16:45
0.7745309,25/4/2018 16:48
0.7520303,25/4/2018 16:51
0.76912034,25/4/2018 16:54
0.72885823,25/4/2018 16:57
0.74373025,25/4/2018 17:00
0.69991827,25/4/2018 17:03
0.6594353,25/4/2018 17:06
0.62220323,25/4/2018 17:09
0.58845234,25/4/2018 17:12
0.5494412,25/4/2018 17:15
0.5048456,25/4/2018 17:18
0.4793347,25/4/2018 17:21
0.43212596,25/4/2018 17:24
0.40778354,25/4/2018 17:27
0.419055,25/4/2018 17:30
0.3461416,25/4/2018 17:33
0.31179273,25/4/2018 17:36
0.3217055,25/4/2018 17:39
0.26776835,25/4/2018 17:42
0.24173474,25/4/2018 17:45
0.19496721,25/4/2018 17:48
0.17185242,25/4/2018 17:51
0.14630966,25/4/2018 17:54
0.12350154,25/4/2018 17:57
0.11884054,25/4/2018 18:00
0.07252273,26/4/2018 6:00
0.032634705,26/4/2018 6:03
0.06643511,26/4/2018 6:06
0.049818456,26/4/2018 6:09
0.102645405,26/4/2018 6:12
0.09221327,26/4/2018 6:15
0.093041815,26/4/2018 6:18
0.11811376,26/4/2018 6:21
0.12931989,26/4/2018 6:24
0.13367832,26/4/2018 6:27
0.14342354,26/4/2018 6:30
0.15735169,26/4/2018 6:33
0.18532321,26/4/2018 6:36
0.17981462,26/4/2018 6:39
0.21803617,26/4/2018 6:42
0.24463618,26/4/2018 6:45
0.2669843,26/4/2018 6:48
0.32229134,26/4/2018 6:51
0.31721333,26/4/2018 6:54
0.32013038,26/4/2018 6:57
0.3818705,26/4/2018 7:00
0.40079463,26/4/2018 7:03
0.5002542,26/4/2018 7:06
0.5557678,26/4/2018 7:09
0.535258,26/4/2018 7:12
0.64697874,26/4/2018 7:15
0.7887725,26/4/2018 7:18
1.0257493,26/4/2018 7:21
0.7592333,26/4/2018 7:24
0.93615013,26/4/2018 7:27
1.0631232,26/4/2018 7:30
1.006008,26/4/2018 7:33
0.74356204,26/4/2018 7:36
0.86128515,26/4/2018 7:39
1.8593867,26/4/2018 7:42
1.1378678,26/4/2018 7:45
1.1881646,26/4/2018 7:48
1.1549183,26/4/2018 7:51
2.3724923,26/4/2018 7:54
2.0349722,26/4/2018 7:57
1.4296367,26/4/2018 8:00
1.2678574,26/4/2018 8:03
1.266433,26/4/2018 8:06
1.4141153,26/4/2018 8:09
1.5465336,26/4/2018 8:12
2.9332008,26/4/2018 8:15
2.5102155,26/4/2018 8:18
2.975119,26/4/2018 8:21
2.2668052,26/4/2018 8:24
1.6026946,26/4/2018 8:27
1.4481053,26/4/2018 8:30
2.6560028,26/4/2018 8:33
1.0461142,26/4/2018 8:36
1.4439152,26/4/2018 8:39
0.8085557,26/4/2018 8:42
0.8901265,26/4/2018 8:45
0.9167967,26/4/2018 8:48
0.883485,26/4/2018 8:51
0.58854085,26/4/2018 8:54
0.56422985,26/4/2018 8:57
0.7691357,26/4/2018 9:00
0.7615966,26/4/2018 9:03
0.53694683,26/4/2018 9:06
0.475276,26/4/2018 9:09
0.4768855,26/4/2018 9:12
0.66906416,26/4/2018 9:15
0.59620476,26/4/2018 9:18
0.58157766,26/4/2018 9:21
0.878134,26/4/2018 9:24
1.1527691,26/4/2018 9:27
1.2695923,26/4/2018 9:30
1.3869022,26/4/2018 9:33
1.4482836,26/4/2018 9:36
1.456801,26/4/2018 9:39
1.1246606,26/4/2018 9:42
0.79627514,26/4/2018 9:45
0.5856735,26/4/2018 9:48
0.4857243,26/4/2018 9:51
0.55514866,26/4/2018 9:54
0.5708977,26/4/2018 9:57
0.50288725,26/4/2018 10:00
0.57623696,26/4/2018 10:03
0.47861427,26/4/2018 10:06
0.45449036,26/4/2018 10:09
0.8188481,26/4/2018 10:12
0.99346626,26/4/2018 10:15
1.1606451,26/4/2018 10:18
1.1273221,26/4/2018 10:21
1.1908864,26/4/2018 10:24
1.3096818,26/4/2018 10:27
1.411043,26/4/2018 10:30
1.4615196,26/4/2018 10:33
1.4832506,26/4/2018 10:36
1.4670405,26/4/2018 10:39
1.4428219,26/4/2018 10:42
1.308836,26/4/2018 10:45
1.3087432,26/4/2018 10:48
1.2755771,26/4/2018 10:51
1.5041822,26/4/2018 10:54
1.6213247,26/4/2018 10:57
1.733285,26/4/2018 11:00
1.4563982,26/4/2018 11:03
1.1613227,26/4/2018 11:06
1.0545801,26/4/2018 11:09
0.9559051,26/4/2018 11:12
0.77579314,26/4/2018 11:15
0.64793295,26/4/2018 11:18
0.519789,26/4/2018 11:21
0.32231092,26/4/2018 11:24
0.372467,26/4/2018 11:27
0.4726697,26/4/2018 11:30
0.67101854,26/4/2018 11:33
0.8093342,26/4/2018 11:36
1.0131634,26/4/2018 11:39
1.2511222,26/4/2018 11:42
1.3941535,26/4/2018 11:45
1.3864245,26/4/2018 11:48
1.4178144,26/4/2018 11:51
1.3918701,26/4/2018 11:54
1.3812928,26/4/2018 11:57
1.4208144,26/4/2018 12:00
1.4614153,26/4/2018 12:03
1.5419906,26/4/2018 12:06
1.5969748,26/4/2018 12:09
1.6639321,26/4/2018 12:12
1.7937373,26/4/2018 12:15
1.8829064,26/4/2018 12:18
2.0111606,26/4/2018 12:21
2.1833637,26/4/2018 12:24
2.44165,26/4/2018 12:27
2.6249635,26/4/2018 12:30
3.0627367,26/4/2018 12:33
3.237375,26/4/2018 12:36
3.9501216,26/4/2018 12:39
4.604807,26/4/2018 12:42
4.601675,26/4/2018 12:45
4.818642,26/4/2018 12:48
4.9654818,26/4/2018 12:51
4.932057,26/4/2018 12:54
5.0397067,26/4/2018 12:57
5.1397195,26/4/2018 13:00
5.1843195,26/4/2018 13:03
5.1765475,26/4/2018 13:06
5.0176272,26/4/2018 13:09
4.6270585,26/4/2018 13:12
4.4786654,26/4/2018 13:15
4.9843755,26/4/2018 13:18
3.784096,26/4/2018 13:21
3.7442245,26/4/2018 13:24
3.747118,26/4/2018 13:27
3.4365282,26/4/2018 13:30
3.1202428,26/4/2018 13:33
3.3995438,26/4/2018 13:36
4.0268025,26/4/2018 13:39
4.2263646,26/4/2018 13:42
4.6302853,26/4/2018 13:45
3.5961502,26/4/2018 13:48
4.91383,26/4/2018 13:51
4.962128,26/4/2018 13:54
5.0979233,26/4/2018 13:57
4.5687885,26/4/2018 14:00
2.79538,26/4/2018 14:03
2.5865493,26/4/2018 14:06
3.5916605,26/4/2018 14:09
4.3719735,26/4/2018 14:12
2.841679,26/4/2018 14:15
1.7806518,26/4/2018 14:18
1.374022,26/4/2018 14:21
2.923174,26/4/2018 14:24
2.0878556,26/4/2018 14:27
3.3817046,26/4/2018 14:30
4.282193,26/4/2018 14:33
3.0315142,26/4/2018 14:36
3.2059367,26/4/2018 14:39
2.4551637,26/4/2018 14:42
4.1260796,26/4/2018 14:45
3.797042,26/4/2018 14:48
1.4306899,26/4/2018 14:51
1.9842172,26/4/2018 14:54
3.8298867,26/4/2018 14:57
2.6542125,26/4/2018 15:00
1.5844014,26/4/2018 15:03
1.6910592,26/4/2018 15:06
3.3103564,26/4/2018 15:09
3.191495,26/4/2018 15:12
3.0984478,26/4/2018 15:15
2.4800458,26/4/2018 15:18
1.5601277,26/4/2018 15:21
1.5304413,26/4/2018 15:24
2.1323903,26/4/2018 15:27
1.8855574,26/4/2018 15:30
1.7181208,26/4/2018 15:33
1.4852508,26/4/2018 15:36
1.2459501,26/4/2018 15:39
2.5042253,26/4/2018 15:42
2.2273846,26/4/2018 15:45
1.2093947,26/4/2018 15:48
2.137586,26/4/2018 15:51
1.0990591,26/4/2018 15:54
1.2990954,26/4/2018 15:57
2.1062558,26/4/2018 16:00
1.9634212,26/4/2018 16:03
1.0633583,26/4/2018 16:06
0.9990365,26/4/2018 16:09
0.9497606,26/4/2018 16:12
1.5942577,26/4/2018 16:15
1.5865085,26/4/2018 16:18
1.0026488,26/4/2018 16:21
1.4130093,26/4/2018 16:24
1.4348227,26/4/2018 16:27
1.1293787,26/4/2018 16:30
0.7830183,26/4/2018 16:33
0.70919424,26/4/2018 16:36
0.6603441,26/4/2018 16:39
0.61042255,26/4/2018 16:42
0.55948824,26/4/2018 16:45
0.5024631,26/4/2018 16:48
0.4835889,26/4/2018 16:51
0.42063186,26/4/2018 16:54
0.41146377,26/4/2018 16:57
0.3995511,26/4/2018 17:00
0.36761284,26/4/2018 17:03
0.35047612,26/4/2018 17:06
0.34296122,26/4/2018 17:09
0.31861967,26/4/2018 17:12
0.3489007,26/4/2018 17:15
0.31240007,26/4/2018 17:18
0.2898156,26/4/2018 17:21
0.25866407,26/4/2018 17:24
0.25648972,26/4/2018 17:27
0.24326682,26/4/2018 17:30
0.25096267,26/4/2018 17:33
0.23795426,26/4/2018 17:36
0.23092417,26/4/2018 17:39
0.2135408,26/4/2018 17:42
0.1966982,26/4/2018 17:45
0.19066513,26/4/2018 17:48
0.16873294,26/4/2018 17:51
0.14961702,26/4/2018 17:54
0.12122299,26/4/2018 17:57
0.14369935,26/4/2018 18:00
0.02316883,27/4/2018 6:00
0.027360095,27/4/2018 6:03
0.06996909,27/4/2018 6:06
0.06955825,27/4/2018 6:09
0.093636446,27/4/2018 6:12
0.10584511,27/4/2018 6:15
0.12661791,27/4/2018 6:18
0.12561549,27/4/2018 6:21
0.15800326,27/4/2018 6:24
0.14868277,27/4/2018 6:27
0.18681003,27/4/2018 6:30
0.22932614,27/4/2018 6:33
0.22516225,27/4/2018 6:36
0.28913486,27/4/2018 6:39
0.33375207,27/4/2018 6:42
0.37310156,27/4/2018 6:45
0.44236755,27/4/2018 6:48
0.50451994,27/4/2018 6:51
0.67243,27/4/2018 6:54
0.6962136,27/4/2018 6:57
0.72191924,27/4/2018 7:00
1.2311491,27/4/2018 7:03
1.3243501,27/4/2018 7:06
1.5057414,27/4/2018 7:09
1.4585489,27/4/2018 7:12
1.5202799,27/4/2018 7:15
1.6393096,27/4/2018 7:18
1.805668,27/4/2018 7:21
1.7869161,27/4/2018 7:24
1.5691864,27/4/2018 7:27
0.99970794,27/4/2018 7:30
1.3704826,27/4/2018 7:33
0.99684,27/4/2018 7:36
0.7825214,27/4/2018 7:39
0.7132795,27/4/2018 7:42
0.7150783,27/4/2018 7:45
0.73785925,27/4/2018 7:48
0.7436903,27/4/2018 7:51
0.8009095,27/4/2018 7:54
0.84568137,27/4/2018 7:57
0.9050775,27/4/2018 8:00
0.92120075,27/4/2018 8:03
0.9918878,27/4/2018 8:06
1.0678384,27/4/2018 8:09
1.1116853,27/4/2018 8:12
1.1572189,27/4/2018 8:15
1.2083169,27/4/2018 8:18
1.2978188,27/4/2018 8:21
1.3594053,27/4/2018 8:24
1.3756274,27/4/2018 8:27
1.4448665,27/4/2018 8:30
1.510368,27/4/2018 8:33
1.547687,27/4/2018 8:36
1.7866193,27/4/2018 8:39
1.8531517,27/4/2018 8:42
1.9622631,27/4/2018 8:45
2.1462107,27/4/2018 8:48
2.341221,27/4/2018 8:51
2.5067573,27/4/2018 8:54
2.2843087,27/4/2018 8:57
2.2819283,27/4/2018 9:00
2.458184,27/4/2018 9:03
2.575641,27/4/2018 9:06
2.9330068,27/4/2018 9:09
2.752917,27/4/2018 9:12
3.7418392,27/4/2018 9:15
4.5934834,27/4/2018 9:18
3.4081821,27/4/2018 9:21
4.0650043,27/4/2018 9:24
3.116755,27/4/2018 9:27
2.8057451,27/4/2018 9:30
3.0178173,27/4/2018 9:33
2.7173855,27/4/2018 9:36
2.566324,27/4/2018 9:39
2.5739174,27/4/2018 9:42
2.6362216,27/4/2018 9:45
2.6320646,27/4/2018 9:48
2.5344155,27/4/2018 9:51
2.5630386,27/4/2018 9:54
2.5602636,27/4/2018 9:57
2.576281,27/4/2018 10:00
2.682516,27/4/2018 10:03
2.8395789,27/4/2018 10:06
3.1423793,27/4/2018 10:09
3.440752,27/4/2018 10:12
3.029989,27/4/2018 10:15
2.9879806,27/4/2018 10:18
3.9894884,27/4/2018 10:21
3.3080735,27/4/2018 10:24
3.0518372,27/4/2018 10:27
3.716699,27/4/2018 10:30
2.7333138,27/4/2018 10:33
2.3671803,27/4/2018 10:36
4.281277,27/4/2018 10:39
2.6902957,27/4/2018 10:42
2.4229624,27/4/2018 10:45
3.2712822,27/4/2018 10:48
2.7350817,27/4/2018 10:51
3.2760594,27/4/2018 10:54
2.8787289,27/4/2018 10:57
2.53108,27/4/2018 11:00
2.3158991,27/4/2018 11:03
1.8663775,27/4/2018 11:06
1.6917464,27/4/2018 11:09
1.7320838,27/4/2018 11:12
2.0741153,27/4/2018 11:15
2.1603034,27/4/2018 11:18
2.0318992,27/4/2018 11:21
1.9274517,27/4/2018 11:24
1.947328,27/4/2018 11:27
1.9147937,27/4/2018 11:30
1.7857304,27/4/2018 11:33
2.3128126,27/4/2018 11:36
2.8925362,27/4/2018 11:39
3.4755378,27/4/2018 11:42
3.4236257,27/4/2018 11:45
2.6675453,27/4/2018 11:48
2.6665618,27/4/2018 11:51
2.7401538,27/4/2018 11:54
2.8284655,27/4/2018 11:57
3.0692146,27/4/2018 12:00
3.3976805,27/4/2018 12:03
3.2993913,27/4/2018 12:06
3.1219568,27/4/2018 12:09
2.6222079,27/4/2018 12:12
2.6927838,27/4/2018 12:15
3.2967744,27/4/2018 12:18
2.959586,27/4/2018 12:21
1.8156477,27/4/2018 12:24
1.9139632,27/4/2018 12:27
2.371097,27/4/2018 12:30
2.641154,27/4/2018 12:33
2.3558457,27/4/2018 12:36
2.1278837,27/4/2018 12:39
2.138568,27/4/2018 12:42
2.1601844,27/4/2018 12:45
1.8664472,27/4/2018 12:48
1.6456984,27/4/2018 12:51
1.7329603,27/4/2018 12:54
1.8388164,27/4/2018 12:57
1.8675561,27/4/2018 13:00
2.0633616,27/4/2018 13:03
2.4087682,27/4/2018 13:06
2.6105025,27/4/2018 13:09
2.9099174,27/4/2018 13:12
3.197638,27/4/2018 13:15
3.201155,27/4/2018 13:18
3.3330956,27/4/2018 13:21
3.320467,27/4/2018 13:24
3.2125292,27/4/2018 13:27
3.3689046,27/4/2018 13:30
3.2332342,27/4/2018 13:33
3.0920928,27/4/2018 13:36
3.0006678,27/4/2018 13:39
2.9212804,27/4/2018 13:42
2.724519,27/4/2018 13:45
2.5294373,27/4/2018 13:48
2.4474459,27/4/2018 13:51
2.382368,27/4/2018 13:54
2.2319655,27/4/2018 13:57
2.0118484,27/4/2018 14:00
2.0583267,27/4/2018 14:03
2.1518333,27/4/2018 14:06
2.1471248,27/4/2018 14:09
2.2025883,27/4/2018 14:12
1.8150966,27/4/2018 14:15
1.6173874,27/4/2018 14:18
1.51402,27/4/2018 14:21
1.5674324,27/4/2018 14:24
1.6931369,27/4/2018 14:27
2.7469792,27/4/2018 14:30
4.5407047,27/4/2018 14:33
3.0287092,27/4/2018 14:36
1.5166,27/4/2018 14:39
1.6105106,27/4/2018 14:42
1.4435962,27/4/2018 14:45
1.4304551,27/4/2018 14:48
2.7905502,27/4/2018 14:51
3.9770305,27/4/2018 14:54
3.9584167,27/4/2018 14:57
3.7659006,27/4/2018 15:00
3.7911127,27/4/2018 15:03
3.8651004,27/4/2018 15:06
3.6175294,27/4/2018 15:09
3.5359433,27/4/2018 15:12
1.441667,27/4/2018 15:15
3.0841427,27/4/2018 15:18
3.0872185,27/4/2018 15:21
2.9132094,27/4/2018 15:24
0.9964962,27/4/2018 15:27
0.81431407,27/4/2018 15:30
0.8939559,27/4/2018 15:33
0.95855993,27/4/2018 15:36
1.0316882,27/4/2018 15:39
1.3225505,27/4/2018 15:42
1.7505062,27/4/2018 15:45
1.3640636,27/4/2018 15:48
1.5512025,27/4/2018 15:51
2.88767,27/4/2018 15:54
2.6449978,27/4/2018 15:57
2.3732464,27/4/2018 16:00
2.021773,27/4/2018 16:03
1.5967916,27/4/2018 16:06
1.035623,27/4/2018 16:09
1.0917397,27/4/2018 16:12
1.4241548,27/4/2018 16:15
1.9120587,27/4/2018 16:18
1.4715953,27/4/2018 16:21
1.3707911,27/4/2018 16:24
1.2697885,27/4/2018 16:27
1.1351914,27/4/2018 16:30
1.0158896,27/4/2018 16:33
0.85102934,27/4/2018 16:36
0.79476506,27/4/2018 16:39
0.69134253,27/4/2018 16:42
0.597965,27/4/2018 16:45
0.55705595,27/4/2018 16:48
0.5090644,27/4/2018 16:51
0.4512102,27/4/2018 16:54
0.42055574,27/4/2018 16:57
0.40540883,27/4/2018 17:00
0.37173608,27/4/2018 17:03
0.3017248,27/4/2018 17:06
0.20993288,27/4/2018 17:09
0.17019054,27/4/2018 17:12
0.1373391,27/4/2018 17:15
0.10850281,27/4/2018 17:18
0.09055711,27/4/2018 17:21
0.07560038,27/4/2018 17:24
0.06405207,27/4/2018 17:27
0.063514486,27/4/2018 17:30
0.016219893,27/4/2018 17:33
0.03366275,27/4/2018 17:36
0.032079235,27/4/2018 17:39
0.022321578,27/4/2018 17:42
0.030023417,27/4/2018 17:45
0.029135369,27/4/2018 17:48
0.035279322,27/4/2018 17:51
0.023277579,27/4/2018 17:54
0.01978244,27/4/2018 17:57
0.0352989,27/4/2018 18:00
0.009663851,28/4/2018 6:00
0.012743189,28/4/2018 6:03
0.009871478,28/4/2018 6:06
0.023919277,28/4/2018 6:09
0.032281734,28/4/2018 6:12
0.05539488,28/4/2018 6:15
0.06278923,28/4/2018 6:18
0.08107209,28/4/2018 6:21
0.11454287,28/4/2018 6:24
0.12410048,28/4/2018 6:27
0.18172286,28/4/2018 6:30
0.16025388,28/4/2018 6:33
0.101729274,28/4/2018 6:36
0.12021359,28/4/2018 6:39
0.10586474,28/4/2018 6:42
0.10846851,28/4/2018 6:45
0.13851379,28/4/2018 6:48
0.13667367,28/4/2018 6:51
0.16327743,28/4/2018 6:54
0.16519833,28/4/2018 6:57
