P,datetime
2.9501536,25/4/2018 15:30
2.59913,25/4/2018 15:33
2.4502802,25/4/2018 15:36
2.430472,25/4/2018 15:39
2.412105,25/4/2018 15:42
2.5066655,25/4/2018 15:45
2.3972208,25/4/2018 15:48
2.4130611,25/4/2018 15:51
2.3899684,25/4/2018 15:54
2.2719378,25/4/2018 15:57
2.2272842,25/4/2018 16:00
2.2858412,25/4/2018 16:03
2.251212,25/4/2018 16:06
2.1286173,25/4/2018 16:09
1.8981296,25/4/2018 16:12
1.6876208,25/4/2018 16:15
1.2877498,25/4/2018 16:18
1.2473218,25/4/2018 16:21
1.4361634,25/4/2018 16:24
1.6798071,25/4/2018 16:27
1.2782942,25/4/2018 16:30
1.010185,25/4/2018 16:33
0.92069334,25/4/2018 16:36
0.89513284,25/4/2018 16:39
0.8351606,25/4/2018 16:42
0.7865401,25/4/2018 16:45
0.70735407,25/4/2018 16:48
0.71927387,25/4/2018 16:51
0.7189053,25/4/2018 16:54
0.70520425,25/4/2018 16:57
0.69223887,25/4/2018 17:00
0.67791283,25/4/2018 17:03
0.61018234,25/4/2018 17:06
0.5868526,25/4/2018 17:09
0.5576568,25/4/2018 17:12
0.4976246,25/4/2018 17:15
0.4536349,25/4/2018 17:18
0.4124366,25/4/2018 17:21
0.3721305,25/4/2018 17:24
0.34154028,25/4/2018 17:27
0.34017608,25/4/2018 17:30
0.24922624,25/4/2018 17:33
0.23602061,25/4/2018 17:36
0.22038417,25/4/2018 17:39
0.1841868,25/4/2018 17:42
0.1603935,25/4/2018 17:45
0.110161565,25/4/2018 17:48
0.0820631,25/4/2018 17:51
0.053254474,25/4/2018 17:54
0.02255582,25/4/2018 17:57
0.023766242,25/4/2018 18:00
-0.08262496,26/4/2018 6:00
-0.11133187,26/4/2018 6:03
-0.076286085,26/4/2018 6:06
-0.08300934,26/4/2018 6:09
-0.026071874,26/4/2018 6:12
-0.013648824,26/4/2018 6:15
-0.008948909,26/4/2018 6:18
-0.01628005,26/4/2018 6:21
0.0364766,26/4/2018 6:24
0.04373433,26/4/2018 6:27
0.05617508,26/4/2018 6:30
0.07153368,26/4/2018 6:33
0.09084979,26/4/2018 6:36
0.09042524,26/4/2018 6:39
0.13713147,26/4/2018 6:42
0.13904086,26/4/2018 6:45
0.18458728,26/4/2018 6:48
0.21749218,26/4/2018 6:51
0.23303477,26/4/2018 6:54
0.2346025,26/4/2018 6:57
0.3179166,26/4/2018 7:00
0.33880946,26/4/2018 7:03
0.4266127,26/4/2018 7:06
0.47080907,26/4/2018 7:09
0.48141676,26/4/2018 7:12
0.59124327,26/4/2018 7:15
0.72230434,26/4/2018 7:18
0.9585189,26/4/2018 7:21
0.6893415,26/4/2018 7:24
0.8657435,26/4/2018 7:27
0.98686296,26/4/2018 7:30
0.93225294,26/4/2018 7:33
0.6888742,26/4/2018 7:36
0.81470615,26/4/2018 7:39
1.7777905,26/4/2018 7:42
1.123001,26/4/2018 7:45
1.143433,26/4/2018 7:48
1.12258,26/4/2018 7:51
2.2656653,26/4/2018 7:54
1.9906464,26/4/2018 7:57
1.407865,26/4/2018 8:00
