P,datetime
3.00884,25/4/2018 15:30
2.6063743,25/4/2018 15:33
2.4370048,25/4/2018 15:36
2.4229527,25/4/2018 15:39
2.3946927,25/4/2018 15:42
2.4899027,25/4/2018 15:45
2.418792,25/4/2018 15:48
2.3977993,25/4/2018 15:51
2.3735573,25/4/2018 15:54
2.268766,25/4/2018 15:57
2.2206883,25/4/2018 16:00
2.270409,25/4/2018 16:03
2.2274773,25/4/2018 16:06
2.0792725,25/4/2018 16:09
1.867278,25/4/2018 16:12
1.6532216,25/4/2018 16:15
1.2645444,25/4/2018 16:18
1.2705617,25/4/2018 16:21
1.4119785,25/4/2018 16:24
1.6432123,25/4/2018 16:27
1.2689505,25/4/2018 16:30
1.0067701,25/4/2018 16:33
0.9028046,25/4/2018 16:36
0.9316117,25/4/2018 16:39
0.87847334,25/4/2018 16:42
0.84838885,25/4/2018 16:45
0.7886792,25/4/2018 16:48
0.750297,25/4/2018 16:51
0.7857081,25/4/2018 16:54
0.7454087,25/4/2018 16:57
0.7151602,25/4/2018 17:00
0.70082635,25/4/2018 17:03
0.673877,25/4/2018 17:06
0.6221704,25/4/2018 17:09
0.60447025,25/4/2018 17:12
0.5482186,25/4/2018 17:15
0.5164538,25/4/2018 17:18
0.48884934,25/4/2018 17:21
0.44821337,25/4/2018 17:24
0.4184995,25/4/2018 17:27
0.48104024,25/4/2018 17:30
0.33025762,25/4/2018 17:33
0.32797557,25/4/2018 17:36
0.31781772,25/4/2018 17:39
0.28067657,25/4/2018 17:42
0.251517,25/4/2018 17:45
0.20209861,25/4/2018 17:48
0.18287545,25/4/2018 17:51
0.15409578,25/4/2018 17:54
0.12000853,25/4/2018 17:57
0.13786077,25/4/2018 18:00
0.034148935,26/4/2018 6:00
0.032909743,26/4/2018 6:03
0.035892606,26/4/2018 6:06
0.05845115,26/4/2018 6:09
0.058357235,26/4/2018 6:12
0.06535509,26/4/2018 6:15
0.084085084,26/4/2018 6:18
0.11695038,26/4/2018 6:21
0.113380656,26/4/2018 6:24
0.12271908,26/4/2018 6:27
0.13717017,26/4/2018 6:30
0.16001594,26/4/2018 6:33
0.144616,26/4/2018 6:36
0.18539345,26/4/2018 6:39
0.21194054,26/4/2018 6:42
0.24727078,26/4/2018 6:45
0.21742612,26/4/2018 6:48
0.3077725,26/4/2018 6:51
0.32832137,26/4/2018 6:54
0.32956517,26/4/2018 6:57
0.38564968,26/4/2018 7:00
0.41343608,26/4/2018 7:03
0.52289253,26/4/2018 7:06
0.56198674,26/4/2018 7:09
0.57426316,26/4/2018 7:12
0.648067,26/4/2018 7:15
0.8236048,26/4/2018 7:18
1.0514067,26/4/2018 7:21
0.77594936,26/4/2018 7:24
0.95032996,26/4/2018 7:27
1.0799954,26/4/2018 7:30
1.0257021,26/4/2018 7:33
0.7922749,26/4/2018 7:36
0.8972716,26/4/2018 7:39
1.8341784,26/4/2018 7:42
1.1935624,26/4/2018 7:45
1.2246388,26/4/2018 7:48
1.2141113,26/4/2018 7:51
2.2414005,26/4/2018 7:54
2.0386596,26/4/2018 7:57
1.4712945,26/4/2018 8:00
1.3090179,26/4/2018 8:03
1.3253016,26/4/2018 8:06
1.4685011,26/4/2018 8:09
1.5746944,26/4/2018 8:12
2.824334,26/4/2018 8:15
2.4039252,26/4/2018 8:18
2.9132676,26/4/2018 8:21
2.2152708,26/4/2018 8:24
1.644466,26/4/2018 8:27
1.4969422,26/4/2018 8:30
2.6625822,26/4/2018 8:33
1.0776944,26/4/2018 8:36
1.4895726,26/4/2018 8:39
0.8463342,26/4/2018 8:42
0.95085245,26/4/2018 8:45
1.0015243,26/4/2018 8:48
0.9300886,26/4/2018 8:51
0.634623,26/4/2018 8:54
0.5960225,26/4/2018 8:57
0.77743024,26/4/2018 9:00
0.804735,26/4/2018 9:03
0.5300429,26/4/2018 9:06
0.4570275,26/4/2018 9:09
0.4580973,26/4/2018 9:12
0.70565265,26/4/2018 9:15
0.62442845,26/4/2018 9:18
0.60662585,26/4/2018 9:21
0.9003415,26/4/2018 9:24
1.183957,26/4/2018 9:27
1.3093755,26/4/2018 9:30
1.4155159,26/4/2018 9:33
1.4699563,26/4/2018 9:36
1.4840518,26/4/2018 9:39
1.159009,26/4/2018 9:42
0.822128,26/4/2018 9:45
0.59014183,26/4/2018 9:48
0.47852755,26/4/2018 9:51
0.5812445,26/4/2018 9:54
0.5730006,26/4/2018 9:57
0.47220373,26/4/2018 10:00
0.573547,26/4/2018 10:03
0.45390067,26/4/2018 10:06
0.4500373,26/4/2018 10:09
0.80707854,26/4/2018 10:12
1.0061361,26/4/2018 10:15
1.1598735,26/4/2018 10:18
1.2044404,26/4/2018 10:21
1.264221,26/4/2018 10:24
1.3989823,26/4/2018 10:27
1.4397011,26/4/2018 10:30
1.5029984,26/4/2018 10:33
1.4846231,26/4/2018 10:36
1.4867934,26/4/2018 10:39
1.5100724,26/4/2018 10:42
1.3173729,26/4/2018 10:45
1.3135839,26/4/2018 10:48
1.3544116,26/4/2018 10:51
1.4887372,26/4/2018 10:54
1.6687903,26/4/2018 10:57
1.7547947,26/4/2018 11:00
1.5567086,26/4/2018 11:03
1.2530252,26/4/2018 11:06
1.091236,26/4/2018 11:09
0.99820083,26/4/2018 11:12
0.8230743,26/4/2018 11:15
0.68889284,26/4/2018 11:18
0.53974164,26/4/2018 11:21
0.331055,26/4/2018 11:24
0.4413624,26/4/2018 11:27
0.49552226,26/4/2018 11:30
0.70565236,26/4/2018 11:33
0.8537889,26/4/2018 11:36
1.0798277,26/4/2018 11:39
1.2603317,26/4/2018 11:42
1.3799319,26/4/2018 11:45
1.4131684,26/4/2018 11:48
1.4489983,26/4/2018 11:51
1.4308723,26/4/2018 11:54
1.3858035,26/4/2018 11:57
1.4034072,26/4/2018 12:00
1.5034999,26/4/2018 12:03
1.5381169,26/4/2018 12:06
1.5886658,26/4/2018 12:09
1.6907548,26/4/2018 12:12
1.8204942,26/4/2018 12:15
1.8678339,26/4/2018 12:18
2.0270653,26/4/2018 12:21
2.2251706,26/4/2018 12:24
2.4377778,26/4/2018 12:27
2.633683,26/4/2018 12:30
3.0481093,26/4/2018 12:33
3.1673262,26/4/2018 12:36
3.9428222,26/4/2018 12:39
4.603373,26/4/2018 12:42
4.5901895,26/4/2018 12:45
4.7888956,26/4/2018 12:48
4.980303,26/4/2018 12:51
4.904074,26/4/2018 12:54
5.0773864,26/4/2018 12:57
5.293647,26/4/2018 13:00
5.400462,26/4/2018 13:03
5.3876424,26/4/2018 13:06
5.020594,26/4/2018 13:09
4.6090274,26/4/2018 13:12
4.471353,26/4/2018 13:15
5.002114,26/4/2018 13:18
3.7558005,26/4/2018 13:21
3.726055,26/4/2018 13:24
3.7157216,26/4/2018 13:27
3.420505,26/4/2018 13:30
3.0489707,26/4/2018 13:33
3.3845015,26/4/2018 13:36
4.006261,26/4/2018 13:39
4.2370887,26/4/2018 13:42
4.629969,26/4/2018 13:45
3.5584815,26/4/2018 13:48
4.9139075,26/4/2018 13:51
5.009203,26/4/2018 13:54
5.254118,26/4/2018 13:57
4.5729504,26/4/2018 14:00
2.7313435,26/4/2018 14:03
2.5831265,26/4/2018 14:06
3.5417874,26/4/2018 14:09
4.389993,26/4/2018 14:12
2.8068793,26/4/2018 14:15
1.7769653,26/4/2018 14:18
1.4638642,26/4/2018 14:21
2.8703046,26/4/2018 14:24
2.1054766,26/4/2018 14:27
3.356393,26/4/2018 14:30
4.304285,26/4/2018 14:33
2.9786136,26/4/2018 14:36
3.1606233,26/4/2018 14:39
2.4271476,26/4/2018 14:42
4.1592293,26/4/2018 14:45
3.7851875,26/4/2018 14:48
1.4700584,26/4/2018 14:51
2.0120838,26/4/2018 14:54
3.8133707,26/4/2018 14:57
2.59622,26/4/2018 15:00
1.6350327,26/4/2018 15:03
1.7456083,26/4/2018 15:06
3.2829978,26/4/2018 15:09
3.152638,26/4/2018 15:12
2.9995947,26/4/2018 15:15
2.437097,26/4/2018 15:18
1.6175101,26/4/2018 15:21
1.6203872,26/4/2018 15:24
2.1603858,26/4/2018 15:27
1.916261,26/4/2018 15:30
1.7771575,26/4/2018 15:33
1.5515354,26/4/2018 15:36
1.2983273,26/4/2018 15:39
2.3843255,26/4/2018 15:42
2.213241,26/4/2018 15:45
1.2816147,26/4/2018 15:48
2.1076229,26/4/2018 15:51
1.1690658,26/4/2018 15:54
1.3859282,26/4/2018 15:57
2.065617,26/4/2018 16:00
1.9606243,26/4/2018 16:03
1.10067,26/4/2018 16:06
1.0709175,26/4/2018 16:09
0.9773006,26/4/2018 16:12
1.6181232,26/4/2018 16:15
1.6431588,26/4/2018 16:18
1.0392903,26/4/2018 16:21
1.479434,26/4/2018 16:24
1.443991,26/4/2018 16:27
1.1772184,26/4/2018 16:30
0.82806504,26/4/2018 16:33
0.74957895,26/4/2018 16:36
0.6834674,26/4/2018 16:39
0.6434708,26/4/2018 16:42
0.590475,26/4/2018 16:45
0.53381425,26/4/2018 16:48
0.5149391,26/4/2018 16:51
0.437116,26/4/2018 16:54
0.42752314,26/4/2018 16:57
0.40777415,26/4/2018 17:00
0.3811867,26/4/2018 17:03
0.37235516,26/4/2018 17:06
0.35762185,26/4/2018 17:09
0.3388107,26/4/2018 17:12
0.35382497,26/4/2018 17:15
0.32379016,26/4/2018 17:18
0.30226597,26/4/2018 17:21
0.2685234,26/4/2018 17:24
0.26500863,26/4/2018 17:27
0.25214985,26/4/2018 17:30
0.26471055,26/4/2018 17:33
0.23431292,26/4/2018 17:36
0.24819389,26/4/2018 17:39
0.21786158,26/4/2018 17:42
0.19412473,26/4/2018 17:45
0.19503641,26/4/2018 17:48
0.18166669,26/4/2018 17:51
0.1721117,26/4/2018 17:54
0.124130584,26/4/2018 17:57
0.1204047,26/4/2018 18:00
-0.00046690195,27/4/2018 6:00
0.0038999212,27/4/2018 6:03
0.039845563,27/4/2018 6:06
0.05195952,27/4/2018 6:09
0.08241935,27/4/2018 6:12
0.0940568,27/4/2018 6:15
0.110912666,27/4/2018 6:18
0.114983976,27/4/2018 6:21
0.12759477,27/4/2018 6:24
0.14468813,27/4/2018 6:27
0.18122351,27/4/2018 6:30
0.2150936,27/4/2018 6:33
0.2269302,27/4/2018 6:36
0.2828413,27/4/2018 6:39
0.33288378,27/4/2018 6:42
0.37254256,27/4/2018 6:45
0.44485462,27/4/2018 6:48
0.50013125,27/4/2018 6:51
0.65695924,27/4/2018 6:54
0.6837006,27/4/2018 6:57
0.7119336,27/4/2018 7:00
1.2214533,27/4/2018 7:03
1.3136775,27/4/2018 7:06
1.4600263,27/4/2018 7:09
1.4567378,27/4/2018 7:12
1.5273849,27/4/2018 7:15
1.5956877,27/4/2018 7:18
1.7538781,27/4/2018 7:21
1.7365254,27/4/2018 7:24
1.5245621,27/4/2018 7:27
0.9840618,27/4/2018 7:30
1.3399658,27/4/2018 7:33
0.9860459,27/4/2018 7:36
0.7875284,27/4/2018 7:39
0.7353838,27/4/2018 7:42
0.7406125,27/4/2018 7:45
0.7313489,27/4/2018 7:48
0.76363015,27/4/2018 7:51
0.80446553,27/4/2018 7:54
0.847744,27/4/2018 7:57
0.8960144,27/4/2018 8:00
0.9272026,27/4/2018 8:03
0.99458516,27/4/2018 8:06
1.055338,27/4/2018 8:09
1.1161046,27/4/2018 8:12
1.169887,27/4/2018 8:15
1.2205595,27/4/2018 8:18
1.316112,27/4/2018 8:21
1.3612366,27/4/2018 8:24
1.3958799,27/4/2018 8:27
1.453415,27/4/2018 8:30
1.522074,27/4/2018 8:33
1.5617535,27/4/2018 8:36
1.7823026,27/4/2018 8:39
1.8261184,27/4/2018 8:42
1.9348897,27/4/2018 8:45
2.147067,27/4/2018 8:48
2.3204346,27/4/2018 8:51
2.4940164,27/4/2018 8:54
2.2558515,27/4/2018 8:57
2.2523692,27/4/2018 9:00
2.4289367,27/4/2018 9:03
2.554822,27/4/2018 9:06
2.9090242,27/4/2018 9:09
2.704215,27/4/2018 9:12
3.7438393,27/4/2018 9:15
4.5885463,27/4/2018 9:18
3.3897235,27/4/2018 9:21
4.0482645,27/4/2018 9:24
3.1028318,27/4/2018 9:27
2.8079565,27/4/2018 9:30
3.0244288,27/4/2018 9:33
2.7100365,27/4/2018 9:36
2.5550528,27/4/2018 9:39
2.5498972,27/4/2018 9:42
2.606048,27/4/2018 9:45
2.6302617,27/4/2018 9:48
2.5410495,27/4/2018 9:51
2.5241265,27/4/2018 9:54
2.524236,27/4/2018 9:57
2.573565,27/4/2018 10:00
2.6196802,27/4/2018 10:03
2.8584301,27/4/2018 10:06
3.1152139,27/4/2018 10:09
3.417436,27/4/2018 10:12
3.013564,27/4/2018 10:15
3.0126173,27/4/2018 10:18
3.9492774,27/4/2018 10:21
3.2330472,27/4/2018 10:24
3.066729,27/4/2018 10:27
3.6862717,27/4/2018 10:30
2.7263556,27/4/2018 10:33
2.3745213,27/4/2018 10:36
4.282088,27/4/2018 10:39
2.7156672,27/4/2018 10:42
2.4331512,27/4/2018 10:45
3.2555268,27/4/2018 10:48
